Blog	how	we	making	started	made	web	was	long	over	past	year	i	make	people	something	d	been	while	but	as	so	many	just	too	put	off	which	what	did	years	end	took	search	new	bit	much	some	had	find	why	time	only	small	our	would	from	after	all	ve	always	found	important	say	no	could	product	or	be	different	though	didn	t	first	back	about	my	real	around	not	work	doing	last	these	have	use	their	there	enough	between	me	them	recently	one	learned	help	an	her	life	up	book	she	by	service	through	world	black	doesn	has	out	where	can	used	like	then	do	often	since	week	lot	during	apple	into	way	each	thing	page	things	seem	right	same	other	your	gets	know	best	someone	using	were	go	if	they	being	content	any	should	look	see	never	now	writing	special	here	support	space	part	start	before	place	still	ways	show	everyone	company	are	future	ll	get	want	down	post	reading	story	re	set	better	than	don	next	months	change	both	coming	may	feel	keep	will	might	come	seen	without	read	take	most	getting	least	few	well	based	data	think	who	isn	those	when	really	free	social	sure	self	let	shows	us	am	need	also	talk	big	ever	every	once	month	two	close	going	days	meet	email	love	former	won	good	day	play	very	far	others	online	ago	thought	great	idea	got	business	side	own	information	today	m	create	amazon	links	public	turn	full	users	live	google	design	blog	his	bad	become	times	having	does	later	against	away	because	he	case	problem	goes	even	fact	control	hard	facebook	another	happens	looking	com	media	america	called	him	latest	its	twitter	president	face	little	night	tell	school	makes	million	left	said	probably	several	interesting	line	party	everything	internet	money	maybe	sometimes	results	youtube	series	white	house	news	march	american	told	says	wednesday	old	trump	tuesday	morning	according	report	three	state	man	donald	security	site	pretty	appeared	game	photos	went	top	home	high	u	video	watch	tv	again
Latest from Crooks and Liars	1	10	0	0	0	0	4	2	3	1	1	7	1	2	3	1	5	1	4	11	4	1	5	0	1	4	3	4	2	0	0	0	0	0	1	3	0	7	0	1	1	1	0	0	1	8	4	2	1	0	1	0	4	3	2	0	6	12	1	1	2	13	2	2	6	0	2	0	7	0	0	1	6	3	0	5	4	0	0	1	0	0	3	0	0	5	3	1	2	0	3	5	0	1	0	1	0	6	6	0	3	2	5	1	0	0	2	3	0	0	0	1	2	0	1	0	0	0	5	0	4	4	0	6	0	0	0	0	0	1	2	2	1	1	3	0	1	2	3	0	2	3	0	0	1	0	2	0	0	2	2	0	0	9	0	0	2	2	0	1	1	0	2	2	1	4	3	1	0	0	0	0	5	1	1	3	0	0	0	0	5	0	1	2	0	0	1	0	1	3	0	1	1	7	0	0	0	0	0	0	0	3	1	0	2	2	1	0	1	0	0	1	0	2	1	0	1	0	3	4	2	2	1	2	0	0	0	0	0	1	0	1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	5	1	5	16	0	1	1	2	0	2	0	0	0	0	1	1	1	2	2	6	1	0	1	3	0	2	1	0	0	1	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	8	4	7	4	1	2	1	2	0	23	1	5	1	0	0	3	0	5	2	0	1	0	0	0	2	1	0	1	4	0	3	2	1
Deadspin	1	5	0	1	1	1	6	0	4	1	1	3	1	1	0	0	3	3	9	4	1	0	6	0	2	1	3	6	1	1	0	1	0	1	1	0	5	0	1	1	2	0	0	2	2	7	7	2	2	0	0	1	0	1	2	0	4	4	0	1	0	5	3	0	6	3	1	4	2	0	1	1	3	3	1	4	4	0	0	0	2	1	4	0	0	7	1	1	3	1	2	3	0	1	0	1	0	3	6	0	3	0	3	1	3	0	0	2	1	1	0	1	0	2	0	0	0	0	0	0	0	4	1	1	4	1	0	1	0	2	3	0	0	2	0	0	3	2	1	2	0	2	0	0	1	1	0	3	0	0	2	1	0	6	0	1	2	0	1	0	0	0	2	1	0	1	2	0	0	0	0	0	0	0	0	3	2	0	1	0	24	1	0	2	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	2	1	3	0	1	1	1	0	1	1	0	1	2	0	0	0	1	0	1	3	0	4	1	1	1	0	0	0	1	0	2	3	1	2	0	1	0	10	2	0	3	0	1	0	0	0	0	0	0	0	7	0	1	1	0	0	0	2	0	0	6	0	0	2	3	0	2	0	0	0	0	0	0	0	2	0	4	0	2	0	0	0	1	2	0	6	0	1	2	0	1	0	0	0	0	3	0	0	2	0	0	0	0	3	0	1	4	1	1	0	2	1	0	0	1	1	1	0	2	0	0	0	0	1	0	2	0	0	1	2	1	1	3	0	0	0
Gothamist	4	9	1	0	2	0	21	1	8	0	17	5	3	12	0	0	1	1	6	15	5	2	7	2	0	2	4	2	0	3	2	1	0	22	0	2	7	5	0	0	5	2	0	4	1	11	9	4	1	2	0	0	2	1	1	0	3	3	0	0	0	5	3	2	5	2	0	1	1	1	1	11	1	4	2	5	3	1	1	1	2	0	8	0	0	8	4	2	10	0	2	5	0	1	1	0	0	8	5	1	6	4	4	1	5	0	2	3	0	2	4	3	0	0	0	0	3	0	2	0	2	5	1	0	5	0	1	7	0	2	3	3	0	1	1	0	2	1	5	0	2	4	1	1	2	2	1	1	3	0	2	0	1	8	0	0	7	0	8	1	0	2	2	0	0	7	1	1	0	1	0	3	0	0	1	2	0	1	2	0	0	1	5	0	2	1	1	0	0	0	12	0	1	7	1	0	0	0	0	1	0	4	0	2	6	1	0	4	1	1	6	4	2	0	5	1	0	2	2	3	2	3	1	2	2	3	0	1	0	3	0	1	0	13	2	0	3	0	0	0	3	1	1	0	0	1	0	1	0	11	0	0	1	0	0	2	3	0	5	11	0	0	0	0	0	0	1	3	0	0	1	0	1	2	2	2	1	3	3	3	0	1	7	0	2	1	4	1	1	0	3	0	0	0	0	2	2	0	0	0	3	2	3	2	0	0	2	0	1	4	12	11	5	3	3	1	2	3	4	2	0	0	0	0	0	5	1	3	2	0	2	1	1	0	4
The Full Feed from HuffingtonPost.com	0	1	1	0	4	0	6	0	0	1	1	1	0	0	0	5	3	0	4	5	2	0	1	0	0	1	0	4	0	1	0	0	0	1	0	0	1	4	0	0	1	0	0	0	1	3	2	1	1	0	0	0	0	0	4	0	2	0	0	1	2	5	6	3	2	0	0	1	2	0	0	0	0	6	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	3	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	1	0	0	1	0	0	0	7	0	3	2	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	2	0	0	2	0	1	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	10	1	3	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	2	0	0	0	0	3	0	0	2	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	1	2	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	4	0	0	0	3	2	0	2	0	0	0	0	0	10	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
Joel on Software	1	4	0	0	0	0	4	0	0	0	2	6	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	7	0	0	1	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	2	2	0	0	1	0	1	3	1	2	0	0	2	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	1	0	2	0	0	1	3	0	1	0	0	0	1	0	0	0	0	0	0	2	4	3	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0
Kotaku	0	6	1	1	2	2	4	0	3	0	2	3	4	0	1	1	1	0	8	5	2	0	6	0	0	1	1	3	1	0	0	1	0	1	2	1	8	0	0	0	3	0	0	2	1	4	0	5	2	1	0	0	0	3	1	0	3	3	1	2	0	4	2	4	1	4	3	2	2	1	0	1	3	2	0	4	3	1	0	3	2	1	5	0	0	3	2	1	3	0	0	4	1	1	1	3	0	4	2	1	4	0	4	1	0	1	0	0	2	0	0	3	1	1	1	0	1	0	0	0	0	9	2	0	3	0	0	3	0	1	3	0	0	0	1	0	4	0	3	0	0	0	0	3	0	0	1	0	0	0	1	0	0	6	0	2	5	0	0	0	0	3	4	0	1	2	1	0	0	2	1	0	1	2	2	1	0	4	1	1	22	0	3	1	0	2	0	0	0	0	2	0	1	1	1	0	0	0	1	0	1	1	0	0	2	1	0	3	1	1	0	0	0	0	0	0	0	0	0	1	5	3	0	1	0	0	0	0	0	0	1	1	0	0	4	0	1	0	1	3	0	1	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	2	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	3	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	8	0	0	1	2	0	0	3	1	0	0
kottke.org	19	31	6	1	12	4	72	5	21	5	13	141	6	14	6	10	15	7	45	52	25	4	14	4	9	4	20	22	13	15	1	2	0	18	5	13	14	25	7	9	19	10	1	16	12	38	13	32	14	7	7	5	6	9	7	0	30	35	9	2	4	36	13	11	31	37	7	2	28	19	3	7	22	24	5	27	11	5	11	26	22	6	28	1	7	34	27	14	23	17	37	39	0	10	8	18	1	18	24	10	15	5	22	9	7	2	5	9	3	7	1	20	14	4	6	4	3	0	3	5	12	12	2	5	6	3	0	23	10	24	36	13	2	2	4	10	13	2	11	4	1	12	1	4	6	3	6	2	7	3	11	1	4	33	5	5	8	5	13	3	9	9	10	5	3	13	10	6	4	5	3	3	2	4	3	10	4	4	3	4	10	6	10	1	4	6	5	3	6	4	29	2	16	13	11	2	3	9	3	1	0	16	7	1	13	2	3	8	7	6	2	13	4	4	4	1	0	3	2	4	9	7	1	11	0	3	1	1	3	4	2	3	3	1	4	4	6	23	0	1	1	1	2	2	1	5	0	4	1	42	2	5	5	1	1	5	2	1	9	33	1	1	5	4	2	2	2	1	7	1	5	2	2	1	5	5	2	12	3	0	2	8	4	7	5	0	0	1	18	4	2	0	4	5	0	7	1	3	4	1	2	8	2	3	1	3	2	4	2	0	4	0	0	3	2	0	6	2	2	0	1	5	3	0	2	8	2	1	3	7	0	7	4	4	4
Lifehack	8	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	5	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
Lifehacker	5	6	0	0	0	2	4	0	4	0	0	11	3	1	1	3	1	2	7	8	1	1	5	0	0	2	3	4	0	1	0	0	0	3	0	1	4	0	1	1	6	0	0	4	1	3	0	2	3	0	0	0	0	3	0	0	3	5	1	0	0	6	0	2	5	2	0	1	2	2	1	3	4	9	1	2	1	1	0	2	2	0	4	0	1	7	2	2	4	0	0	3	1	1	0	0	0	0	2	0	6	0	5	0	2	1	1	1	2	0	0	3	4	0	2	1	2	0	0	0	0	31	2	0	6	0	1	1	0	6	2	0	1	1	1	1	1	2	1	0	0	1	0	0	1	0	1	0	2	0	0	0	0	3	0	0	6	6	0	0	0	0	7	0	0	0	4	1	0	3	0	0	1	0	0	2	1	2	1	1	25	1	1	0	0	1	2	0	0	2	4	1	2	3	1	0	0	1	1	1	0	2	1	1	2	0	0	3	2	0	3	2	0	0	0	0	1	1	0	0	2	2	1	0	1	0	0	1	0	1	2	0	0	0	0	0	4	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	1	2	0	0	3	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	1	1	0	0	1	2	1	2	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1
Matt Cutts: Gadgets, Google, and SEO	0	1	1	1	0	2	5	0	2	0	4	22	2	4	0	1	2	2	4	3	2	1	3	1	0	1	0	1	0	2	1	3	1	0	0	0	4	0	0	0	2	0	0	0	1	4	1	0	4	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	9	6	0	0	1	3	0	4	1	1	0	2	0	0	0	1	2	3	3	1	0	2	2	0	0	0	0	0	6	1	2	0	0	3	1	0	2	0	2	0	1	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	1	1	0	0	1	1	2	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	1	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	6	0	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	1	1	0	0	1	1	4	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	1	1	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
mezzoblue	2	0	0	1	0	3	1	2	4	3	0	12	2	0	0	1	3	1	4	4	1	0	1	1	0	0	1	1	0	3	0	0	0	3	0	1	1	0	0	0	0	0	0	1	0	2	0	1	6	0	1	0	0	1	0	0	1	1	0	0	1	4	1	1	1	3	0	0	2	0	1	0	1	1	1	0	0	0	0	2	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	2	0	0	0	1	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
Neil Gaiman's Journal	20	53	7	10	14	0	110	13	21	2	43	435	24	44	22	23	27	10	47	52	61	15	22	19	17	10	31	36	20	22	2	9	0	40	17	23	36	42	14	4	34	22	6	8	38	62	12	49	31	5	6	1	2	11	21	0	63	104	8	3	11	53	21	23	46	81	2	7	61	22	27	21	14	66	0	19	58	2	7	64	43	0	42	2	10	45	12	8	36	64	11	71	0	9	16	1	3	20	54	23	44	3	42	30	40	2	5	7	13	4	1	14	8	9	20	8	49	2	10	9	17	25	4	11	7	10	3	22	23	62	48	8	1	12	12	8	19	12	28	24	2	39	4	0	6	1	18	6	11	2	6	9	1	65	0	20	33	16	4	6	15	8	12	10	6	12	12	11	7	5	5	10	9	7	6	58	4	5	3	5	27	11	9	8	2	13	9	3	0	7	48	8	5	24	23	4	3	11	2	8	2	22	20	13	11	5	6	9	3	4	5	23	2	27	23	5	3	21	1	5	24	13	1	17	1	3	3	28	8	2	6	23	0	4	8	1	3	61	1	5	4	7	4	1	0	4	2	4	13	31	5	2	8	5	6	6	1	11	35	50	4	0	10	30	0	0	8	3	10	3	1	28	4	3	6	18	1	5	3	0	0	9	11	9	1	5	3	6	15	7	5	2	6	2	6	5	18	3	7	2	2	7	2	2	2	1	28	5	1	5	11	0	0	4	1	1	8	0	11	0	0	0	3	1	0	2	21	0	5	4	0	7	5	8	5
Oilman	3	4	0	1	0	0	1	0	1	1	1	22	0	4	0	0	2	0	1	4	4	2	2	2	0	1	0	4	1	1	0	0	3	3	1	3	3	2	0	2	1	1	0	1	2	1	0	1	2	0	0	0	0	1	1	0	2	1	0	0	0	3	0	1	2	6	0	1	1	0	0	1	0	3	2	1	0	0	0	4	0	1	2	0	0	0	0	1	3	0	0	3	0	0	0	1	1	1	1	0	0	0	3	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1	1	0	1	0	0	2	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	3	0	0	0	2	1	2	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	1	0	0	0	2	0	0	2	0	0	1	0	0	0	1	1	2	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PerezHilton	1	2	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	1	4	2	0	2	1	0	1	2	0	0	2	0	1	0	5	0	0	4	1	0	1	1	0	0	0	0	3	6	0	0	0	1	0	1	0	0	0	2	1	0	0	1	3	0	1	4	0	1	1	1	0	0	0	0	3	0	2	1	0	0	0	1	0	2	0	0	4	9	0	3	0	5	2	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	1	2	1	0	0	0	0	0	1	0	0	3	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	2	0	1	0	0	1	0	0	0	0	3	0	0	0	0	1	2	1	0	0	2	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	1	1	0	6	4	1	2	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
plasticbag.org	1	4	0	0	1	0	3	0	2	0	1	16	0	4	1	1	2	1	1	5	1	2	0	1	1	0	3	0	0	2	1	1	0	2	1	1	6	1	1	0	3	0	0	0	0	2	0	6	3	0	0	0	0	0	3	0	1	5	0	1	1	5	0	0	4	3	0	0	0	0	1	3	2	3	0	0	2	0	0	1	3	0	2	0	0	0	0	1	2	0	0	1	0	2	0	0	1	1	1	0	1	0	2	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	0	2	0	0	0	0	0	1	1	2	1	1	2	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	2	4	0	1	5	0	0	1	1	1	2	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	1	1	6	2	2	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0
Derek Powazek	7	7	0	2	2	1	13	1	5	0	4	69	1	2	8	2	8	1	14	10	7	1	11	2	1	1	2	9	4	5	0	3	0	5	0	1	3	3	1	1	4	1	2	3	0	5	4	10	11	4	1	0	3	2	1	1	5	7	0	0	1	10	3	2	9	22	0	1	6	3	1	7	2	3	0	4	7	5	4	15	2	0	13	0	0	5	9	5	11	6	7	5	0	1	3	1	0	5	9	0	8	1	9	7	7	2	1	3	1	0	0	4	0	1	4	1	1	0	4	3	3	6	2	6	1	0	1	2	4	9	6	0	1	0	1	0	3	3	10	2	2	6	0	0	2	0	1	0	4	1	3	1	1	11	0	4	6	1	2	3	4	3	7	0	0	2	4	1	2	1	2	1	0	5	0	5	1	3	1	0	0	1	2	2	0	5	2	0	0	4	1	0	1	11	2	0	0	1	1	1	0	4	3	1	2	3	1	1	3	2	0	9	1	4	4	0	0	1	0	0	1	2	0	1	0	0	2	2	1	5	0	1	1	0	2	0	2	12	2	0	0	0	0	1	0	2	0	1	1	3	3	0	1	0	0	1	1	1	3	5	0	0	2	1	0	0	3	0	3	1	1	1	2	0	0	2	0	1	1	0	1	7	2	0	0	0	0	1	3	1	0	0	0	0	2	1	3	1	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	2	0	0	4	0	1	0	0	2	0	0	0	2	3	2	0	1	0	0	1	0	2
ProBlogger	22	10	3	8	1	0	2	0	6	2	6	22	0	2	1	1	1	2	1	2	2	5	2	2	0	0	3	3	1	2	0	1	0	9	1	1	1	0	0	1	0	1	0	12	0	9	3	3	7	1	0	0	0	0	2	3	6	4	0	1	0	2	26	2	8	10	0	1	1	0	1	4	2	4	1	5	2	0	3	2	1	1	12	0	0	1	2	0	1	0	2	6	2	2	2	0	0	2	4	2	3	0	1	1	2	2	0	1	0	0	0	0	0	2	0	6	2	1	0	0	0	31	0	1	4	0	4	1	2	6	5	0	1	0	0	0	0	2	0	0	0	1	0	0	1	10	0	0	1	0	1	1	0	7	0	2	6	12	1	21	1	4	8	0	0	2	0	0	2	0	0	0	0	1	0	1	2	0	0	0	1	1	3	0	0	1	0	0	0	2	4	2	0	9	1	2	1	0	5	0	0	4	0	2	0	4	1	3	2	0	1	3	0	1	0	0	0	0	0	0	1	3	0	2	0	0	0	1	1	0	0	0	4	0	0	1	14	2	1	4	0	0	0	0	0	0	1	0	46	3	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	3	1	0	0	0	1	2	0	0	0	0	0	0	1	0	1	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	20	0	0	0	0	1	0	0	0	0	0	0
Quick Online Tips	11	2	0	0	0	0	0	3	0	0	0	0	5	1	0	0	0	1	2	3	0	1	1	0	0	0	3	1	1	0	0	0	10	6	0	1	0	0	0	1	0	0	0	1	0	3	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	1	11	0	0	0	0	0	1	0	0	0	0	5	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	1	1	2	1	1	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	10	0	0	4	1	0	0	0	1	1	0	1	0	1	0	1	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	3	4	0	0	2	1	0	9	0	0	0	1	3	0	1	0	0	1	0	0	0	0	1	3	0	0	0	2	19	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	9	0	0	0	8	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	8	0	0	0	6	0	0	0	0	0	0	0
Schneier on Security	0	2	0	0	0	0	2	2	2	0	0	3	1	0	0	0	1	0	1	1	1	0	1	0	0	0	2	2	0	1	0	0	0	6	0	1	0	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0	0	1	0	0	1	2	0	0	0	2	0	0	4	1	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	2	3	0	0	2	0	0	0	0	0	5	0	0	0	0	0	2	0	0	2	0	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	4	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
